ordinal,id,location,euro,surface,compartiment,link
163,X46K103RM,semicentral,102000,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X46K103RM?lista=141495822
164,X7NS1001S,iris,77900,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/iris/apartament-de-vanzare-3-camere-X7NS1001S?lista=141495822
165,X9ND1007T,marasti,97800,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9ND1007T?lista=141495822
166,X46K100H3,marasti,98000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K100H3?lista=141495822
167,X93B1008M,central,109700,73,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1008M?lista=141495822
168,X93B1009H,marasti,89299,72,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B1009H?lista=141495822
169,X4I7100M3,marasti,101994,84,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I7100M3?lista=141495822
170,X5NQ10023,marasti,89990,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5NQ10023?lista=141495822
171,X9T700025,gheorgheni,100300,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9T700025?lista=141495822
172,X8SC1007C,central,100800,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC1007C?lista=141495822
173,X8SC1001O,buna ziua,95900,76,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8SC1001O?lista=141495822
174,X83T0000P,manastur,100000,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X83T0000P?lista=141495822
175,X9AC1006U,manastur,104000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9AC1006U?lista=141495822
