id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
X93B1005B,3,82,3,7,semidecomandat,0,115200,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X93B1005B?lista=141346768
XV0F00417,3,67,6,8,decomandat,-1,112000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0F00417?lista=141346768
X9PN10021,3,98,2,3,semidecomandat,-1,92600,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PN10021?lista=141346768
X9PN10015,3,62,3,5,decomandat,-1,88000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PN10015?lista=141346768
X9T70002N,3,69,6,6,decomandat,0,90497,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9T70002N?lista=141346768
X8MD1006P,4,80,2,4,decomandat,-1,115000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-4-camere-X8MD1006P?lista=141346768
XV0E00GRB,3,70,10,10,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0E00GRB?lista=141346768
X8BO1000T,3,70,1,2,semidecomandat,0,107000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8BO1000T?lista=141346768
X1KA100E3,4,78,4,4,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X1KA100E3?lista=141346768
X1KA100F0,3,62,8,10,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA100F0?lista=141346768
X8M2100GK,4,78,4,12,decomandat,-1,110000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-4-camere-X8M2100GK?lista=141346768
X1KA100J6,3,60,2,6,semidecomandat,-1,120000,plopilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/plopilor/apartament-de-vanzare-3-camere-X1KA100J6?lista=141346768
XARL10032,3,65,3,4,decomandat,-1,120000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-XARL10032?lista=141346768
XV0G00I8F,4,84,1,4,decomandat,-1,117000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-4-camere-XV0G00I8F?lista=141346768
X7KQ1001T,3,70,1,2,semidecomandat,0,98000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7KQ1001T?lista=141346768
X54N0003O,3,74,2,6,semidecomandat,0,90033,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X54N0003O?lista=141346768
X54N0007J,3,65,1,4,decomandat,-1,85000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X54N0007J?lista=141346768
X4I7100H3,3,65,1,4,decomandat,-1,87000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I7100H3?lista=141346768
XARL1006D,3,65,3,4,decomandat,-1,94000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XARL1006D?lista=141346768
X8MD1000G,3,67,4,4,decomandat,-1,108000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8MD1000G?lista=141346768
X8M21002B,3,65,10,10,decomandat,-1,76000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8M21002B?lista=141346768
X9CH1000G,3,65,3,4,decomandat,-1,119000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9CH1000G?lista=141346768
X9Q10008A,3,68,3,4,semidecomandat,0,96180,calea turzii,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/calea-turzii/apartament-de-vanzare-3-camere-X9Q10008A?lista=141346768
X1KA101Q0,3,68,4,4,decomandat,-1,108000,intre lacuri,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/intre-lacuri/apartament-de-vanzare-3-camere-X1KA101Q0?lista=141346768
X8JT10036,3,80,6,6,semidecomandat,0,89500,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8JT10036?lista=141346768
XB1J10005,3,81,1,2,decomandat,0,73071,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XB1J10005?lista=141346768
X4I71003Q,3,69,4,10,decomandat,-1,95900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X4I71003Q?lista=141346768
X9PI100EF,3,62,3,4,semidecomandat,-1,100000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PI100EF?lista=141346768
X46K1019E,3,69,5,8,decomandat,-1,106000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K1019E?lista=141346768
